,SITE_ID,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,MIN_DATE,MAX_DATE,SITE_NAME
0,AR-SLu,-33.4648,-66.4598,,200901010000,201112312330,San Luis
1,AR-TF1,-54.9733,-66.7335,40.0,201601010000,201812312330,Rio Moat bog
2,AR-Vir,-28.2395,-56.1886,,200901010000,201212312330,Virasoro
3,AT-Neu,47.1167,11.3175,970.0,200201010000,201212312330,Neustift
4,AU-ASM,-22.283,133.249,,201001010000,201412312330,Alice Springs
5,AU-Ade,-13.0769,131.1178,,200701010000,200912312330,Adelaide River
6,AU-Cpr,-34.0021,140.5891,,201001010000,201412312330,Calperum
7,AU-Cum,-33.6152,150.7236,,201201010000,201412312330,Cumberland Plain
8,AU-DaP,-14.0633,131.3181,,200701010000,201312312330,Daly River Savanna
9,AU-DaS,-14.1593,131.3881,,200801010000,201412312330,Daly River Cleared
10,AU-Dry,-15.2588,132.3706,,200801010000,201412312330,Dry River
11,AU-Emr,-23.8587,148.4746,,201101010000,201312312330,Emerald
12,AU-Fog,-12.5452,131.3072,,200601010000,200812312330,Fogg Dam
13,AU-GWW,-30.1913,120.6541,,201301010000,201412312330,"Great Western Woodlands, Western Australia, Australia"
14,AU-Gin,-31.3764,115.7138,,201101010000,201412312330,Gingin
15,AU-How,-12.4943,131.1523,,200101010000,201412312330,Howard Springs
16,AU-Lox,-34.4704,140.6551,,200801010000,200912312330,Loxton
17,AU-RDF,-14.5636,132.4776,,201101010000,201312312330,"Red Dirt Melon Farm, Northern Territory"
18,AU-Rig,-36.6499,145.5759,,201101010000,201412312330,Riggs Creek
19,AU-Rob,-17.1175,145.6301,,201401010000,201412312330,"Robson Creek, Queensland, Australia"
20,AU-Stp,-17.1507,133.3502,,200801010000,201412312330,Sturt Plains
21,AU-TTE,-22.287,133.64,,201201010000,201412312330,Ti Tree East
22,AU-Wac,-37.4259,145.1878,,200501010000,200812312330,Wallaby Creek
23,AU-Whr,-36.6732,145.0294,,201101010000,201412312330,Whroo
24,AU-Wom,-37.4222,144.0944,705.0,201001010000,201412312330,Wombat
25,AU-Ync,-34.9893,146.2907,,201201010000,201412312330,Jaxa
26,BE-Bra,51.30761,4.51984,16.0,199601010000,202212312330,Brasschaat
27,BE-Dor,50.311874,4.968113,253.0,201101010000,202012312330,
28,BE-Lcr,51.11218,3.85043,6.25,201901010000,202212312330,
29,BE-Lon,50.55162,4.746234,170.0,200401010000,202212312330,Lonzee
30,BE-Maa,50.97987,5.631851,87.0,201601010000,202212312330,
31,BE-Vie,50.304962,5.998099,490.0,199601010000,202212312330,Vielsalm
32,BR-CST,-7.9682,-38.3842,468.0,201401010000,201512312330,Caatinga Serra Talhada
