Camera,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,Site Description
aafcottawacfiaf14e,45.292100,-75.766400,90,AAFC Site - Ottawa (On) - CFIA - Field F14 - East Flux Tower
aafcottawacfiaf14n,45.292900,-75.767000,90,AAFC Site - Ottawa (On) - CFIA - Field F14 - North Section
aafcottawacfiaf14w,45.292100,-75.766400,90,AAFC Site - Ottawa (On) - CFIA - Field F14 - West Flux Tower
acadia,44.376944,-68.260833,158,"Acadia National Park, McFarland Hill, near Bar Harbor, Maine"
admixpasture,-43.649300,172.349500,33,"Eddy site, mixed species irrigated dairy pasture, Ashley Dene Research & Development Station, South Island, New Zealand"
adrycpasture,-43.651300,172.350100,31,"Ryegrass-clover irrigated dairy pasture, Ashley Dene Research & Development Station, South Island, New Zealand"
aguatibianorth,33.602220,-117.343680,1090,"Agua Tibia Wilderness, California"
ahwahnee,37.746700,-119.581600,1199,"Ahwahnee Meadow, Yosemite National Park, California"
alercecosteroforest,-40.172600,-73.443900,840,Alerce Costero National Park Forest
alleypond,40.742843,-73.743035,61,"Alley Pond, Queens, New York"
alligatorriver,35.787900,-75.903800,1,"Alligator River National Wildlife Refuge, North Carolina"
almondifapa,37.854500,-4.806400,106,Almond orchard in Cordoba (Spain)
amtsvenn,52.176000,6.955000,44,"EC tower, Amtsvenn peatland, Northrhein-Westphalia, Germany"
anisclo,42.559409,0.050894,952,"Río Bellos, Ermita de San Urbez (PNOMP) Spain"
apvcontrol,50.863200,6.531100,169,"Agrophotovoltaik (APV) field of IBG-2 in Morschenich-Alt, Forschungszentrum Juelich"
apvexperiment,50.863400,6.530900,169,"Agri-Photovoltaik Field of IBG-2 near Morschenich-Alt, Forschungszentrum Juelich"
arbutuslake,43.982070,-74.233220,535,"Arbutus Lake, Huntington Wildlife Forest, Newcomb, New York"
arbutuslakeinlet,43.993360,-74.245270,527,"Arbutus Lake Inlet Tower, Huntington Wildlife Forest, Newcomb, New York"
archboldavir,27.176064,-81.219580,8,"A. virginicus Field, Archbold Biological Station, Florida"
archboldavirx,27.166627,-81.219828,8,"A. virginicus Field (not grazed), Archbold Biological Station, Florida"
archboldbahia,27.165600,-81.216112,8,"Archbold Biological Station, Florida, USA"
archboldpnot,27.187948,-81.200345,9,"P. notatum Field, Archbold Biological Station, Florida"
archboldpnotx,27.180677,-81.200680,9,"P. notatum Field (not grazed), Archbold Biological Station, Florida"
archboldwet,27.190000,-81.210000,8,"Wetland Site, Archbold Biological Station, Florida"
arkansascornsoy,34.416000,-91.672300,61,"Arkansas County, corn/soy rotation"
arkansaswhitaker,33.621600,-91.430600,41,"Tower over rice field, near McGehee, AR"
armoklahoma,36.605800,-97.488800,314,"ARM Climate Research Facility, Billings, Oklahoma"
arsbrooks10,41.974900,-93.690500,312,"Brooks Field site 10, Ames, Iowa"
arsbrooks11,41.974400,-93.693700,313,"Brooks Field site 11, Ames, Iowa"
arscolesnorth,42.488400,-93.522500,356,"Coles farm, north field, near Williams Iowa"
arscolessouth,42.481600,-93.523500,352,"Coles farm, south field, near Williams Iowa"
arsgacp1,31.510900,-83.617900,96,"Southeast Watershed Research Laboratory ECSite 1 Tifton, Georgia"
arsgacp2,31.439500,-83.591456,101,"Southeast Watershed Research Laboratory EC2 Tifton, Georgia"
arsgacp3,31.756300,-83.751600,139,"Southeast Watershed Research Laboratory RG52 Tifton, GA"
arsgacp4,31.709300,-83.728700,127,"Southeast Watershed Research Laboratory EC2 Tifton, Georgia - row crops"
arsgreatbasinltar098,43.167500,-116.713200,1426,"ARS, Great Basin LTAR, ARTRW8 community, Reynolds Creek, Idaho"
arsgreatbasinltar117,43.143200,-116.735700,1625,"ARS, Great Basin LTAR, ARAR8 community, Reynolds Creek, Idaho"
arsgreatbasinltar177,43.064500,-116.748400,2114,"ARS, Great Basin LTAR, ARTRV/SYORU community, Reynolds Creek, Idaho"
arsltarmdcr,39.058700,-75.851300,17,"corn production - irrigated, private farm, Caroline Co., Maryland"
arsltarmdcrnatw,39.057500,-75.753100,16,"Natural Wetland, Caroline County, Maryland"
arsltarmdcrprcw,39.066700,-75.760900,17,"Prior Converted Wetland, corn/soybean rotation, Caroline County, Maryland"
arsltarmdcrresw,39.054900,-75.753200,16,"Restored Wetland, Caroline County, Maryland"
arsltarucbec1,40.753700,-78.005700,400,"West Tower Cooperative Farm, Central, PA"
arsltarucbec2,40.755800,-77.999900,396,"East Tower LTAR Farm Central, PA"
arsmnswanlake1,45.684508,-95.799703,370,"Swan Lake Research Farm, Minnesota"
arsmorris1,45.616700,-96.126900,341,ARS Morris. Minnesota LTAR South Tower - ARSMorrisFYN1
arsmorris2,45.627000,-96.127000,338,ARS Morris. Minnesota LTAR North Tower - ARSMorrisFYN2
arsmorris3,45.609100,-96.126500,342,"Upper Mississippi River Basin (UMRB_Morris), LTAR site arsMorris3, Morris, Minnesota"
arsoljubljana,46.065600,14.512500,300,"ARSO vrt, Ljubljana, Slovenija"
arsope3ltar,39.030900,-76.844200,41,"corn production, economic & environmental research, USDA, Beltsville, Maryland"
arsspltarc2,35.568500,-98.055800,414,Field C2 in the Southern Plains LTAR GREEN Farm. Control plot with no till winter wheat. Grazed.
asa,57.164458,14.782468,180,"SITES Asa Research Station, Lammhult, Sweden"
asa2,57.164458,14.782468,180,"SITES Asa Research Station, Lammhult, Sweden"
ashbottoms,38.866800,-96.902800,374,"Rock Springs 4H Camp, Kansas"
ashburnham,42.602900,-71.926000,292,"Ashburnham State Forest / Overlook Middle School, Ashburnham, Massachusetts"
asuhighlands,36.207600,-81.703200,1016,"Appalachian State University, Boone, NC"
austincary,29.738000,-82.218800,44,"Austin Cary Forest, School of Forest Resources & Conservation, University of Florida, Florida"
aysenforest,-44.800200,-72.825400,50,Aysen Forest
barrocolorado,9.158200,-79.847500,150,"Smithsonian Tropical Research Institute, Barro Colorado Island, Panama"
barrocolorado2,9.154000,-79.848000,150,"Smithsonian Tropical Research Institute, Barro Colorado Island, Panama"
barrocolorado3,9.154000,-79.848000,150,"Smithsonian Tropical Research Institute, Barro Colorado Island, Panama"
barrocolorado4,9.156500,-79.848200,164,"Smithsonian Tropical Research Institute - Ava Tower (45 m high), Barro Colorado Island, Panama"
barrow,71.280075,-156.609149,5,"Barrow Environmental Observatory, Utqiagvik (formerly Barrow), Alaska"
